開講年度,開講箇所,科目名,担当教員,学期曜日時限,科目区分,配当年次,単位数,使用教室,キャンパス,授業で使用する言語,授業方法区分,レベル,授業形態,副題,授業概要,授業の到達目標,事前・事後学習の内容,授業計画,教科書,参考文献,成績評価方法,備考・関連URL
2025年度,法学部,English: Gate 1D-2,トクマ ウォン,秋学期  月１時限,既習外国語 英語(Gate),１年以上,1,８-１０４,早稲田,指定なし,【対面】,初級レベル（入門・導入） 授業形態 外国語,外国語,,"1年生では春学期にBridge、秋学期にGateを履修します。どちらも同じクラスで受講し、週2回の
授業があり、そのうち1回はネイティブスピーカーが担当するクラスを履修します。 
Bridgeでは、総合的な技能の向上に努める一方で、特にリスニングとスピーキングに焦点を当て
ます。 
Gateでは、総合的な英語技能の向上に努める一方で、特にライティングに力点をおきます。 
授業の到達目標 Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。 
Gate（秋学期）では、書くための下地として、参考文献を適切に読み解き、まとめる力を育成しま
す。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより
高度な言語活動を行うための基礎を作ります。 
事前・事後学習の内容 予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明しま
す。 
授業計画 授業計画については科目ごとに異なっているので、初回の授業にて確認すること。  
教科書 各担当教員が指定します。 
参考文献 各担任教員が指定します。 
成績評価方法 各担当教員が初回の授業で説明します。",Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。,予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明しま,授業計画については科目ごとに異なっているので、初回の授業にて確認すること。,各担当教員が指定します。,各担任教員が指定します。,各担当教員が初回の授業で説明します。,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200002005012025120000200512
2025年度,法学部,English: Gate 3D-2,マニング ジュリアン,秋学期  月１時限,既習外国語 英語(Gate),１年以上,1,８-３１２,早稲田,指定なし,【対面】,初級レベル（入門・導入） 授業形態 外国語,外国語,,"1年生では春学期にBridge、秋学期にGateを履修します。どちらも同じクラスで受講し、週2回の
授業があり、そのうち1回はネイティブスピーカーが担当するクラスを履修します。 
Bridgeでは、総合的な技能の向上に努める一方で、特にリスニングとスピーキングに焦点を当て
ます。 
Gateでは、総合的な英語技能の向上に努める一方で、特にライティングに力点をおきます。 
This course will focus on the presentation of written ideas in an academic format. 
授業の到達目標 Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。 
Gate（秋学期）では、書くための下地として、参考文献を適切に読み解き、まとめる力を育成しま
す。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより
高度な言語活動を行うための基礎を作ります。 
事前・事後学習の内容 予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明しま
す。 
授業計画 授業計画については科目ごとに異なっているので、初回の授業にて確認すること。  
Students will tackle 2 extended writing assignments over the semester. Each assignment will 
be approached in a 3-stage process. 1. Thinking/discussion. 2. Individual writing. 3. 
Feedback and redrafting. The aim each assignment is to produce an essay of about 1,500 
words in English in a suitable academic format. 
教科書 各担当教員が指定します。 
参考文献 各担任教員が指定します。 
成績評価方法 各担当教員が初回の授業で説明します。",Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。,予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明しま,授業計画については科目ごとに異なっているので、初回の授業にて確認すること。,各担当教員が指定します。,各担任教員が指定します。,各担当教員が初回の授業で説明します。,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200002005032025120000200512
2025年度,法学部,English: Gate 8C-2,ダフ ブライアン,秋学期  月１時限,既習外国語 英語(Gate),１年以上,1,8-409コンピュータールーム,早稲田,指定なし,【対面】,初級レベル（入門・導入） 授業形態 外国語,外国語,,"1年生では春学期にBridge、秋学期にGateを履修します。どちらも同じクラスで受講し、週2回の
授業があり、そのうち1回はネイティブスピーカーが担当するクラスを履修します。 
Bridgeでは、総合的な技能の向上に努める一方で、特にリスニングとスピーキングに焦点を当て
ます。 
Gateでは、総合的な英語技能の向上に努める一方で、特にライティングに力点をおきます。 
授業の到達目標 Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。 
Gate（秋学期）では、書くための下地として、参考文献を適切に読み解き、まとめる力を育成しま
す。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより
高度な言語活動を行うための基礎を作ります。 
事前・事後学習の内容 予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明しま
す。 
授業計画 授業計画については科目ごとに異なっているので、初回の授業にて確認すること。  
教科書 各担当教員が指定します。 
参考文献 各担任教員が指定します。 
成績評価方法 各担当教員が初回の授業で説明します。",Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。,予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明しま,授業計画については科目ごとに異なっているので、初回の授業にて確認すること。,各担当教員が指定します。,各担任教員が指定します。,各担当教員が初回の授業で説明します。,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200002005482025120000200512
2025年度,法学部,English: Theme 1（秋）,ローリー ゲイ,秋学期  月１時限,既習外国語 英語(Theme),２年以上,1,８-３１３,早稲田,指定なし,【対面】,中級レベル（発展・応用） 授業形態 外国語,外国語,Gender and History,"In this course we will read and discuss a variety of materials about the history of gender, 
using case studies from Japan as well as other parts of the world. Materials will include 
several chapters from Gender and Law in the Japanese Imperium, a collection of essays 
about the colonial period; and newspaper and journal articles. Some literature may be 
included if students are interested. 
授業の到達目標 Theme is a content-based class that aims to have students acquire the 
ability to do the following in English: 
1. To understand and summarize the written and spoken arguments of others. 
2. To formulate well-developed and logical arguments and convey them in a clear and 
concise manner to others. 
3. To obtain necessary information that will support their argument and present the argument 
in a convincing manner. 
4. To write an extended academic essay that has a clear structure and follows the rules of 
formal writing. 
事前・事後学習の内容 To prepare for class, students will need to read the assigned article or 
book chapter and to make a note of their answers to the related discussion questions, which 
will be provided in advance. Your answers do not need to be submitted, but they will help 
you to participate actively in class. You should expect to spend about 60 minutes preparing 
for each class.",Theme is a content-based class that aims to have students acquire the,"To prepare for class, students will need to read the assigned article or","1:  
Self introductions; course introduction 
Self introductions; course introduction: A short history of thinking about gender 
2:  
Reading and discussion 
Reading and discussion 
3:  
Reading and discussion 
Reading and discussion 
4:  
Reading and discussion 
Reading and discussion 
5:  
Reading and discussion 
Reading and discussion 
6:  
Reading and discussion 
Reading and discussion 
7:  
Reading and discussion 
Reading and discussion 
8:  
Reading and discussion 
Reading and discussion 
9:  
Paper proposals 
Bring your 1 x A4 page proposal about your final essay to class. For help finding the 
information you need to write your final essay, see:  
https://www.waseda.jp/library/services/research-support/tutorial/ 
10:  
Presentations 
Short presentations based on final essays; class discussion 
11:  
Presentations 
Short presentations based on final essays; class discussion 
12:  
Presentations 
Short presentations based on final essays; class discussion 
13:  
Fine-tuning your essay 
Final class discussion; essays to be submitted on Moodle at the end of class 
14:  
Interviews and feedback 
Individual interviews about your final essays 
教科書 There is no textbook for this class. 
参考文献 Gender and Law in the Japanese Imperium, edited by Susan L. Burns and 
Barbara J. Brooks. Honolulu: University of Hawai’i Press, 2014. 
https://waseda.primo.exlibrisgroup.com/permalink/81SOKEI_WUNI/7jeksk/alma9910265112
78004032",There is no textbook for this class.,"Gender and Law in the Japanese Imperium, edited by Susan L. Burns and","割合 評価基準 
試験: 0％ There is no exam for this class. 
レポート: 50％ Papers should be about 1000 words in length, written in a 12-point font and 
double-spaced, and must be submitted via Waseda Moodle. Marks will be deducted for 
essays that are shorter than 900 words and longer than 1100 words. 
平常点評価: 50％ Students will be expected to prepare for classes by means of short 
reading/summarizing assignments; to contribute actively to discussions; and to give a 
presentation introducing their essay topic to the class. 
その他: 0％ None","When you send me an email: 
1. put your name and class in the subject line (e.g. Hanako Suzuki, Theme 9); 
2. begin your email with: “Dear Professor Rowley”; 
3. end your email with: “Sincerely” followed by your name; 
4. write in English. I do not answer emails from students in Japanese.
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=120000201F012025120000201F12"
2025年度,法学部,English: Theme 2（秋）,ノット ジェフリー アラン,秋学期  月１時限,既習外国語 英語(Theme),２年以上,1,６-３１３-２演習室,早稲田,指定なし,【対面】,中級レベル（発展・応用） 授業形態 外国語,外国語,Highlights from the Tale of Genji: Reading Sōgi’s Private Anthology -- The Story of,"In this class we will read (in English) an anthology of highlights from the Tale of Genji 
produced by the renga poet Sōgi (1421-1502) near the end of the 15th century. 
   The Tale of Genji is a very long work: especially before printed editions became available 
(shortly before the Edo period), a full set of all 54 chapters in manuscript took up a 
substantial amount of space, and was impractical to carry around as one travelled. This was 
a problem for the renga poet Sōgi, who wanted to bring the text with him on his frequent 
journeys throughout Japan to meet with other poets, students, and friends. He tried to solve 
the dilemma by making an abridgment, a collection of highlights (in only 4 volumes) taken 
from Murasaki Shikibu’s original, both to read for himself and to share with others. He called 
this private edition “Lavender Dust: A Personal Collection” (Shijin gushō 紫塵愚抄). 
   Over the course of our own short semester, we will follow Sōgi’s example, and try to read 
the massive classic using Sōgi’s handy abridged version. In particular, we will focus on the 
story of the tragic heroine Ukifune. Continuing from the spring, when we began with the 
“Ukifune” chapter, in the fall we will advance as far as possible towards the conclusion of the 
work. Throughout, we will pay close attention to how and why Sōgi chose the highlights he 
decided to include, and we will consider just how much such a “best album” edition can 
teach us about a work of such length and depth. 
授業の到達目標 Theme is a content-based class that aims to have students acquire the 
ability to do the following in English: 
 
1. To understand and summarize the written and spoken arguments of others. 
2. To formulate well-developed and logical arguments, and convey them in a clear and 
concise manner to others. 
3. To obtain necessary information that will support their argument, and present the 
argument in a convincing manner. 
4. To write an extended academic essay that has a clear structure and follows the rules of 
formal writing. 
事前・事後学習の内容 There are no daily homework assignments. However, conscientious 
preparation of readings before class is expected, and will be evaluated.",Theme is a content-based class that aims to have students acquire the,"There are no daily homework assignments. However, conscientious","1:  
第１回 
Introduction: An Overview of the Tale of Genji 
Reading from the ""Lavender Dust"" Anthology 
2:  
第２回 
Reading from the ""Lavender Dust"" Anthology 
3:  
第３回 
Reading from the ""Lavender Dust"" Anthology 
4:  
第４回 
Reading from the ""Lavender Dust"" Anthology 
5:  
第５回 
Reading from the ""Lavender Dust"" Anthology 
6:  
第６回 
Midterm Exam 
7:  
第７回 
Reading from the ""Lavender Dust"" Anthology 
8:  
第８回 
Reading from the ""Lavender Dust"" Anthology 
9:  
第９回 
Reading from the ""Lavender Dust"" Anthology 
10:  
第１０回 
Reading from the ""Lavender Dust"" Anthology 
Final Assignment: Explanation 
11:  
第１１回 
Reading from the ""Lavender Dust"" Anthology 
12:  
第１２回 
Reading from the ""Lavender Dust"" Anthology 
13:  
第１３回 
Reading from the ""Lavender Dust"" Anthology 
Final Assignment: First Draft DUE 
14:  
第１４回 
Reading from the ""Lavender Dust"" Anthology 
& Review of the semester's readings 
Final Assignment: FINAL Draft DUE 
教科書 There is no textbook to purchase: handouts will be provided in class.",There is no textbook to purchase: handouts will be provided in class.,,"割合 評価基準 
試験: 30％ Quizzes and Midterm 
レポート: 30％ Final Assignment (1000-1500 words) 
平常点評価: 40％ Attendance and In-Class Performance 
その他: 0％ .",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=120000201F022025120000201F12
2025年度,法学部,English: Theme 3（秋）,白鳥 義博,秋学期  月１時限,既習外国語 英語(Theme),２年以上,1,８-３０９,早稲田,指定なし,【対面】ハイブリッド（対面回数半数以上）,中級レベル（発展・応用） 授業形態 外国語,外国語,,"本科目は以下の形態による授業を実施します［主に対面授業とするが、必要に応じてMoodleで
の課題提示やリアルタイム配信、オンデマンドを併用する可能性がある］ 
 Regional Studies: 
Theme授業で必須の課題とされる「1,000 words レポート」をしっかり、丁寧に書き上げることを
いちばんの目標とします。1,000語レポートのテーマは、ロンドン（イギリス）の諸相に関する研究
としますが、それだけでは漠然としますので、ロンドンを舞台（本拠地）としつつ、イギリス人に長く
愛され続けつつ、世界中に愛好者（ファン）を持つ、英国文化を象徴するような二つの文化的産
物ー「シャーロック・ホームズ」と「ザ・ローリング・ストーンズ」ーの魅力について考えるという共通
テーマを設定し、パラグラフ・ライティングの基礎から始めて、コロンや引用符の使用法などMLA
書式に準拠したお清書原稿の仕上げ方に至るまで、満足のゆくレポートを正しく、楽に完成させ
るコツを体得できればと思います。 
 英語の場合、論文であれ小説であれ、曲であれライブであれ、言葉を使って作られたそれぞれ
の作品の題名は、いわば「要約の要約」とも呼べるひとつの「核」であって、内容を把握する上で
非常に重要な意味を持つものです。では、「まだらのひも」や『バスカヴィル家の犬』など、ひとつ
ひとつのホームズ物語の題名は、作品をどのように要約しているのでしょうか？23年に出たス
トーンズの最新アルバムにつけられた『ハックニー・ダイヤモンド』とは、そしてそもそも「ローリン
グ・ストーンズ」とは、いったいどのような意味合いを持つ「核」なのでしょうか？こうした問題に答
えを出すことを、まずは1,000語レポートのテーマ探しのきっかけとしながら、コナン・ドイル作の
ホームズ・シリーズと、デビュー60年を超えてまだまだ（ますます？）元気なローリング・ストーン
ズの様々な作品のいくつかを分析し、ホームズもストーンズもなぜイギリス人に、そして世界中に
多くのファンを持つのかを考え、それと共に最終レポートを正しく、楽に描くために必要な英語の
論理的一貫性についても知見を得たいと考えています。 
 このようにイギリスやホームズ、さらにストーンズなど、個別的なテーマを扱う授業ですので、予
備知識は不要ですが、そうしたものに対する知的な好奇心は必須です。また、パラグラフ・ライ
ティングの基礎から長めの論説文のお清書まで、論理的で読みやすい文章を英語で書くことに
習熟するにあたり、1,000語レポートの具体的なテーマは受講生によるプレゼンテーションなど、
クラス全体で協力して考えていくことになりますので、ホームズやローリング・ストーンズに、そし
てロンドンやイギリスに興味を抱くことができるかどうか、YouTubeの動画などによって事前に自
分の心の内をよく確かめてから受講を決断なさってください。 
 なお、初回授業含めて、基本的に多くの回を対面授業とする予定ですが、感染者数などの社会
状況や、あるいはテキストの進度・理解度など授業運営の関係で、Moodleでの課題授業を併用
することもあります。情勢の様々な推移を見つつ、柔軟に運営する方針です。 
授業の到達目標  Theme is a content-based class that aims to have students acquire the 
ability to do the following in English: 
１. To understand and summarize the written and spoken arguments of others. 
２. To formulate well-developed and logical arguments, and convey them 
事前・事後学習の内容 事前学習：特に指示のない限り、前の授業で取り扱った教材中のわから
ない単語の意味を調べておくこと。また、題名や挿絵などから判断して、話題になっているトピッ
クについて簡単な下調べをしておくこと。 
事後学習：事前学習において漏れていた単語や文法項目などについて再確認し、本文の中で読
解しにくい箇所をピックアップして次の授業で質問をすること。演習問題で話題となったキーワー
ドやトピックについて、授業中の指示などをふまえてさらに深いリサーチと定着の学習を行い、
1000wordsレポートに備えること。",Theme is a content-based class that aims to have students acquire the,事前学習：特に指示のない限り、前の授業で取り扱った教材中のわから,"1:  
第１回 
オリエンテーション、自己紹介。授業の進め方についての説明。 
2:  
第２回 
第１テキスト（その１） 
3:  
第３回 
第１テキスト（その２） 
4:  
第４回 
第１テキスト（その３） 
5:  
第５回 
第１テキスト（その４） 
6:  
第６回 
第２テキスト（その１） 
7:  
第７回 
第２テキスト（その４） 
8:  
第８回 
第３テキスト（その１） 
9:  
第９回 
第３テキスト（その２） 
10:  
第１０回 
ライティング演習（その１） 
11:  
第１１回 
ライティング演習（その２） 
12:  
第１２回 
ライティング演習（その３） 
13:  
第１３回 
メイン・テクストの語彙や文法などについての到達度確認 
14:  
第１４回 
総合と復習 
教科書 初回の授業で指示する",初回の授業で指示する,,"割合 評価基準 
レポート: 50％ An academic essay of at least 1,000 words 
平常点評価: 50％ Individual and group activities（テキスト内容の習熟度確認、学習項目の定
着などのための課題提出も含む）","100分授業の導入により、グループ単位での学習や成果発表の機会なども一部で取り入れる予
定である。また、最終対面授業回には、テキストで習った事柄の習熟度の測定などを、何らかの
形で行う。詳しくは初回授業で説明をするが、これはいわゆる1000words（小）論文のノルマとは
別の課題になる。Themeではあっても英語学習の基礎的な事柄に習熟することを求める学生の
要望に、特に配慮したい。逆に、留学経験が抱負であったり、英語力に自信のある学生には、教
材や授業の内容が簡単に感じられるかもしれないので、注意すること。授業は読解などを中心に
進める。基礎的な事柄を扱うからといって、いわゆる「楽な授業」ではない。特に、遅刻、居眠り、
私語などは、他の学生のモチベーションにも関わるので、厳しく対処する。なお、高校の英語教科
書などでは扱われなかったような ""theme"" についての教材を使用するため、政治や宗教、ある
いは性の問題のように、扱いがなかなかデリケートな問題について触れる機会が出てくると思い
ます。そうした話題に興味本位で触れることはしませんし、何らかの立場や主義を押し付けること
はありませんが、そもそも授業でその種の話題が議論されることに抵抗を感じる学生諸君は、よ
く考えてから履修を決断されてください。なお、公平で厳格な授業運営と成績査定を、今年度は
特に心がけるつもりです。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=120000201F032025120000201F12"
2025年度,法学部,仏語初級Ⅱ（基礎）5F,國房 吉太郎,秋学期  01:月１時限／02:木２時限,未習外国語 仏語(初級),１年以上,2,01:８-Ｂ１０５／02:３-６０５,早稲田,指定なし,【対面】,初級レベル（入門・導入） 授業形態 外国語,外国語,,初めてフランス語を学ぶ人を対象とした授業です。週2回、主に文法を中心とした内,2年次の中級Ⅰにつながるレベルまでの到達を目指します。2年次には中級,春学期から引き続き、授業内容の復習が不可欠です。一方、練習問題な,春学期で学んだことを前提に、過去形や未来形、条件法や接続法などの文法事項を,未定,授業で指示します,"割合 評価基準 
試験: 70％ 期末試験および小テストの成績 
平常点評価: 30％ 出席状況、授業における活動状況、宿題等。なお、左記の割合は目安であ
り、クラスにより異なることがある。",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023B205202512000023B212
2025年度,法学部,仏語初級Ⅱ（基礎）7F,森 佳子,秋学期  01:月１時限／02:木２時限,未習外国語 仏語(初級),１年以上,2,01:８-４０１／02:８-４０１,早稲田,指定なし,【対面】,初級レベル（入門・導入） 授業形態 外国語,外国語,,初めてフランス語を学ぶ人を対象とした授業です。週2回、主に文法を中心とした内,2年次の中級Ⅰにつながるレベルまでの到達を目指します。2年次には中級,春学期から引き続き、授業内容の復習が不可欠です。一方、練習問題な,春学期で学んだことを前提に、過去形や未来形、条件法や接続法などの文法事項を,未定,授業で指示します,"割合 評価基準 
試験: 70％ 期末試験および小テストの成績 
平常点評価: 30％ 出席状況、授業における活動状況、宿題等。なお、左記の割合は目安であ
り、クラスにより異なることがある。",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023B207202512000023B212
2025年度,法学部,中国語初級Ⅱ（基礎）2C,門田 康宏,秋学期  01:月１時限／02:木３時限,未習外国語 中国語(初級),１年以上,2,01:８-４０３／02:８-４０３,早稲田,指定なし,【対面】,初級レベル（入門・導入） 授業形態 外国語,外国語,,◇未習中国語 外国語Ａ（8単位）／未習中国語 外国語Ｂ（10単位）共通,◇未習中国語 外国語Ａ（8単位）／未習中国語 外国語Ｂ（10単位）共通,授業内容の予習・復習は当然のことであるが、さらに具体的な内容につ,クラスによって異なるので、開講時に担当教員から指示がある。,教科書は、クラスによって異なるので、生協の教科書購入サイトで確認のこと。初回の授,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023C202202512000023C212
2025年度,法学部,西語初級Ⅱ（基礎）2S,金澤 直也,秋学期  01:月１時限／02:水３時限,未習外国語 西語(初級),１年以上,2,01:１０-３０６／02:８-３１０,早稲田,指定なし,【対面】,中級レベル（発展・応用） 授業形態 外国語,外国語,,"西語未習コースは、１年次秋学期にこの「西語初級Ⅱ（基礎）」（週２コマ）と「西語初級Ⅱ（演習）」
（週１コマ）を同一クラス（上記「科目名」の「○S」）で受講します。 
西語初級Ⅱ（基礎）の授業では、スペイン語文法理解と読解に重点を置きます。名詞の「性」、形
容詞の語尾変化、動詞の活用など、英語にはない文法的特徴に注意しながらひとつずつ知識・
理解を積み上げていきます。 
西語初級Ⅱ（演習）の授業では、ネイティヴ教員による口頭演習に重点が置かれます。（基礎）で
身に着けた語彙や理論、仕組みの知識を実用的に会話の環境のなかで学びます。 
授業の到達目標 ・「授業計画」の項目の文法・語法を習得し、使い分けることができる 
・習得した文法、語彙、表現を用いて簡単なスペイン語の会話ができる 
事前・事後学習の内容 宿題の有無にかかわらず次回の学習箇所の予習（語句の意味を辞書で
引くなど）、各回の学習内容の復習は常に行なうこと。語学の習得には反復による蓄積が不可欠
です。とくに動詞の活用形など理屈なく身に着けるほかないものは繰り返し声に出して覚えるこ
と。詳細は各クラス担当教員から指示します。",・「授業計画」の項目の文法・語法を習得し、使い分けることができる,宿題の有無にかかわらず次回の学習箇所の予習（語句の意味を辞書で,"無主語文 
使役・知覚動詞 
副詞 
無人称文 
現在分詞・過去分詞 
直説法現在完了・過去完了 
受動態 
比較 
関係詞 
直説法未来・過去未来 
直説法未来完了・過去未来完了 
接続法現在 
接続法の用法（名詞節・形容詞節・副詞節） 
接続法過去 
時制の一致 
命令法 
接続法現在完了・過去完了 
疑惑文・願望文 
条件文 
 
※上記は目安であり、実際に学習する項目の順序やバランスは、扱う教科書によって変わる可
能性がある。ただし一年間で到達を目指すレベルに差異はない。 
教科書 各クラスの担当教員が指示する 
参考文献 各クラスの担当教員が指示する ※辞書は必ず入手すること",各クラスの担当教員が指示する,各クラスの担当教員が指示する ※辞書は必ず入手すること,"割合 評価基準 
試験: 70％ 中間試験・期末試験など。実施方法等については各クラスの担当教員が指示する。 
レポート:  各クラスの担当教員の指示に従うこと 
平常点評価: 30％ 授業参加状況、課題等 ※ただし割合は目安であり、クラスにより異なること
がある。 
その他:  各クラスの担当教員の指示に従うこと","授業開始時に、おおまかな進度やテスト予定日などのスケジュール、教科書、辞書などについて
担当教員から案内します。 
原則として欠席回数が総授業回数の3分の2を超えた場合、履修の意志なしとみなし、成績評価
しません。授業に出席すること自体は評価の対象ではありません（評価の要件です）ので、出席
の度合いと、評価の結果としての成績・合否は無関係です。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023E202202512000023E212"
