開講年度,開講箇所,科目名,担当教員,学期曜日時限,科目区分,配当年次,単位数,使用教室,キャンパス,授業で使用する言語,授業方法区分,レベル,授業形態,副題,授業概要,授業の到達目標,事前・事後学習の内容,授業計画,教科書,参考文献,成績評価方法,備考・関連URL
2025年度,法学部,地域文化 I Ｆ （尾崎）,尾崎 文太,秋学期  木１時限,III「文芸・文化・言語」,１年以上,2,８-３１１,"早稲田
科目キー 1200001D20 科目クラスコード 01",日本語,"【対面】
  コース・コード ARSH181L
大分野名称 地域研究
中分野名称 ヨーロッパ研究
小分野名称 その他",初級レベル（入門・導入）,"講義
シラバス情報
最終更新日時：2025/03/03 09:28:18",食文化とグローバリゼーションの歴史,"古来、世界には文化・文明と呼ばれる社会システムが存在していたが、それらは独立して存在するわけではなく、つねに相互的な交流や衝突の歴史を経て「グローバルな」ネットワークを構築してきた。特に大航海時代以降、政治的・経済的なグローバル化は西洋列強の帝国主義・植民地主義の歴史と表裏一体に展開してきたが、それは同時に世界の文化の構図にも大きな影響を与えてきた。我々は<世界史>という概念を西洋の言説の側からに偏って捉えがちであるが、本講義では、「食」という観点から<世界史>のダイナミズムを見つめなおし、それが世界各地の文化に与えた影響を概観してゆく。
具体的には、授業計画に示されている7つのテーマについて講義をしていく予定である。",グローバル化の歴史と食文化の移動・接触・変容を結び付けて考えることによって、<世界史>に関する相対的な理解を深めるとともに、文化の多様性を動態的にとらえてゆく。,事前に周知されているその週のテーマにつき、各自予備知識を書籍・ネットなどを通じて予習しておくことが望ましい。また、講義後、その週に学んだ内容について各自整理しておくことが求められる。予習・復習を合わせて90～120分程度の授業外学習を想定しておくよう。,に示されている7つのテーマについて講義をしていく予定である。,特に用いない,授業のレジュメ等で参考文献を紹介する,"割合 評価基準
レポート: 50％ 講義内容の理解、形式的妥当性、独自の視点から総合的に判断する。なお、レポートは講義のテーマからひとつを選択し提出してもらう。(レポートの提出期間は各テーマが終わった日から2週間以内とする予定である。)
。
平常点評価: 50％ レスポンスペーパーの提出を含んだ授業参加の積極性を評価する。","上記の授業計画は現段階のものであり、今後変更の可能性もあることを留意されたい。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200001D200120251200001D2012"
2025年度,法学部,生物学 II （小林）,小林 牧人,秋学期  木１時限,I 「人間・自然・社会」,１年以上,2,８-３１３,"早稲田
科目キー  1200001Q22  科目クラスコード  01",日本語,"【対面】
  コース・コード  BIOX101L
大分野名称  生物学
中分野名称  生物学
小分野名称  生物学",初級レベル（入門・導入）,"講義
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"・基礎的な生物学の内容から生物と人の社会の関係まで広範囲なトピックを扱う。
・主としてヒトの身体の成り立ちをわかりやすく解説するキーワードはHow?とWhy?",・生物学の知識を単なる知識として受けとめるのではなく、自分の生活と結びつけて、科学的にものごとを考えられるスキルを身につけることを目標としている。,・事前の予習は特に必要ないが、事後は、その日に学んだことを整理し、コメントシートにまとめる。何が自分にとって新しいことで、それをもとに自分の考えをどう発展させたか、まとめる。疑問点が生じたらまずは自分で調べてみる。それでもわからないときはコメントシートに質問事項を書き込む。コメントシートは授業後の次の日曜日の23:59までにMoodleにアップする。,"第1回 動物の体の大きさ：動物の体のおおきさや形はいくつかの制限要因できまっている。その制限要因とはななだろうか。
第2回  細胞の種類とはたらき：身体には様々な種類の細胞がある。これらの種類の細胞はどのようなはたらきをしているのだろうか。
第3回  体温調節：哺乳類、鳥類は体温調節にかなりのエネルギーをつかっている。我々の体温はどのようにちょうせつされているのだろうか；
第4回  病気と発熱：病気になると熱がでるが、それはなぜだろうか。
第5回  代謝とエネルギー：我々は食べものを食べてエネルギーを得ている。身体の中でどのようなことが起こっているのだろうか。
第6回  食物と栄養素：炭水化物、脂肪について解説する。
第7回  食物と栄養：タンパク質、ビタミン、ミネラルについて解説する。
第8回  消化と吸収：食べものがどのように分解（消化）されるか解説する。
第9回  消化と吸収：食べものがどのように吸収（細胞内に）されるか解説する。
第10回 味覚と合成甘味料：味覚について説明し、甘味とカロリーの関係を説明する。
第11回 動物の性と生殖について解説する。
第12回 ヒトの性の多様性について生物学的、医学的観点から解説する。
第13回 科学とはどういうものか解説する。
第14回 健康食品は本当に効果があるのか、解説する。",ファンタジーな生物学 暗記にとらわれず楽しく学ぼう 小林牧人著・小澤一史監修 恒星社厚生閣 2500円+税,講義中に随時紹介する,"割合  評価基準
試験:  0％  期末試験はおこなわない
レポート:  70％  課題レポートの評価
平常点評価:  30％  コメントシートの提出と内容
その他:  0％  期末試験はおこなわない
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200001Q220120251200001Q2212開講年度
2025年度,法学部,English: Gate ５Ｃ-1,吉野 舞起子,秋学期  木１時限,既習外国語 英語(Gate),１年以上,1,8-201コンピュータールーム,"早稲田
科目キー  1200002004  科目クラスコード  45",指定なし,"【対面】
  コース・コード  LANE101F
大分野名称  語学
中分野名称  英語
小分野名称  英語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"1年生では春学期にBridge、秋学期にGateを履修します。どちらも同じクラスで受講し、週2回の授業があり、そのうち1回はネイティブスピーカーが担当するクラスを履修します。
Bridgeでは、総合的な技能の向上に努める一方で、特にリスニングとスピーキングに焦点を当てます。
Gateでは、総合的な英語技能の向上に努める一方で、特にライティングに力点をおきます。","Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。
Gate（秋学期）では、書くための下地として、参考文献を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。",予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明します。,授業計画については科目ごとに異なっているので、初回の授業にて確認すること。,各担当教員が指定します。,を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。,"各担当教員が初回の授業で説明します。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200002004452025120000200412開講年度
2025年度,法学部,English: Gate ８Ｓ-2,ローリー ゲイ,秋学期  木１時限,既習外国語 英語(Gate),１年以上,1,８-３１２,"早稲田
科目キー  1200002005  科目クラスコード  68",指定なし,"【対面】
  コース・コード  LANE101F
大分野名称  語学
中分野名称  英語
小分野名称  英語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18","The Environment: Listening, reading, and writing","1年生では春学期にBridge、秋学期にGateを履修します。どちらも同じクラスで受講し、週2回の授業があり、そのうち1回はネイティブスピーカーが担当するクラスを履修します。
Bridgeでは、総合的な技能の向上に努める一方で、特にリスニングとスピーキングに焦点を当てます。
Gateでは、総合的な英語技能の向上に努める一方で、特にライティングに力点をおきます。","Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。
Gate（秋学期）では、書くための下地として、参考文献を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。",予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明します。,"Throughout history, the three most important activities of students have remained unchanged: read, write, discuss. Gate courses are designed to improve students’ comprehension of spoken and written English; and to develop their academic writing skills.",There is no set textbook for this class.,を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。,"Students will be required to:
1. attend classes regularly, contributing actively to pair work and small group discussions;
2. submit regular in-class summary sheets;
3. successfully complete a listening and speaking test at the end of the semester;
4. successfully complete a written summary test at the end of the semester.","★Want to deepen your understanding of the environment and make an impact?
Explore the options offered in the カーボンニュートラルリーダー副専攻 offered via the Global Education Center.
See: https://www.waseda.jp/inst/gec/undergraduate/minor-2/
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200002005682025120000200512開講年度"
2025年度,法学部,仏語初級 II（基礎） ３Ｆ,後藤 美和子,秋学期  01:月２時限／02:木１時限,未習外国語 仏語(初級),１年以上,2,01:８-Ｂ１０５／02:８-Ｂ１０５,"早稲田
科目キー  12000023B2  科目クラスコード  03",指定なし,"【対面】
  コース・コード  LANF101F
大分野名称  語学
中分野名称  フランス語
小分野名称  フランス語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"初めてフランス語を学ぶ人を対象として、特に総合的なコミュニケーション技法の獲得をめざす授業です。週2回、主に文法を中心とした内容で、土台となる基礎をしっかり勉強します。秋学期は、動詞の過去形（フランス語の場合、過去形が複数あります）、未来形、条件法、接続法など、さまざまな時制や法を学び、初級文法をひととおり終えます。
フランス語を母語とする教員が担当する「初級（演習）」との間で教材の面でも、授業の面でも連携を強めておこなっていきます。",2年次の中級Ⅰにつながるレベルまでの到達を目指します。2年次には中級Ⅰの授業を週2回取ってもらい、しっかりした文法知識の上に、読み、書き、話し、聞く能力を養います。具体的には、身近な話題について、ある程度、話ができ、多少文法的な誤りがあっても自分の意志や考えを相手に伝えることができることをめざします。また、自分の個人的経験などを文章化でき、それなりに自立した言語使用ができることを目標とします（ヨーロッパ言語共通参照枠のB1）。,春学期から引き続き、授業内容の復習が不可欠です。一方、練習問題などの予習が必要になっていきます。,春学期で学んだことを前提に、過去形や未来形、条件法や接続法などの文法事項を順番に学んでいきます。,Amicalement plus（予定）,授業で指示します,"割合  評価基準
試験:  70％  期末試験および小テストの成績
平常点評価:  30％  出席状況、授業における活動状況、宿題等。なお、左記の割合は目安であり、クラスにより異なることがある。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023B203202512000023B212開講年度
2025年度,法学部,仏語初級 II（基礎） ４Ｆ,久保田 斉也,秋学期  01:月２時限／02:木１時限,未習外国語 仏語(初級),１年以上,2,01:１０-１０４／02:８-４０５,"早稲田
科目キー  12000023B2  科目クラスコード  04",指定なし,"【対面】
  コース・コード  LANF101F
大分野名称  語学
中分野名称  フランス語
小分野名称  フランス語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,初めてフランス語を学ぶ人を対象とした授業です。週2回、主に文法を中心とした内容で、土台となる基礎をしっかり勉強します。秋学期は、動詞の過去形（フランス語の場合、過去形が複数あります）、条件法、接続法など、さまざまな時制や法を学び、初級文法をひととおり終えます。,2年次の中級Ⅰにつながるレベルまでの到達を目指します。2年次には中級Ⅰの授業を最低週1回取ってもらい、フランス語の基礎力を確実に身につけることが目標です。具体的には、身近な話題を理解し、簡単なことがらを表現でき、短い簡単な手紙を書ける程度のレベルです（ヨーロッパ言語共通参照枠A2）。,春学期から引き続き、授業内容の復習が不可欠です。一方、練習問題などの予習が必要になっていきます。,春学期で学んだことを前提に、過去形や未来形、条件法や接続法などの文法事項を順番に学んでいきます。,未定,授業で指示します,"割合  評価基準
試験:  70％  期末試験および小テストの成績
平常点評価:  30％  出席状況、授業における活動状況、宿題等。なお、左記の割合は目安であり、クラスにより異なることがある。",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023B204202512000023B212
2025年度,法学部,中国語初級 I（基礎） １２Ｃ,小島 瑞紀／宮本 めぐみ,秋学期  01:月４時限／02:木１時限,未習外国語 中国語(初級),１年以上,2,01:８-Ｂ１０６／02:８-３０９,"早稲田
科目キー  12000023C1  科目クラスコード  12",指定なし,"【対面】
  コース・コード  LANC101F
大分野名称  語学
中分野名称  中国語
小分野名称  中国語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"◇未習中国語 外国語Ａ（8単位）／未習中国語 外国語Ｂ（10単位）共通
- 日本人教員による「基礎」（週2）と中国人教員による「演習」（週1）の計3コマを受講する。
- 中国語の基礎力の定着をめざすべく、口頭表現の訓練に重点を置き、発音の練習や文法・単語の学習を進める。
※2年次「中級」に進級した際の学修の連繋について
- 外国語Ａ：２年次の中級では、日本人教員もしくは中国人教員によるテーマ別科目を各自が週1コマ選択履修する。
- 外国語Ｂ：初～中級を2年間同一クラスで学ぶ一貫コース。
 ２年次は日本人教員による「総合」（週1）と中国人教員による「コミュニケーション」（週1）の計2コマを受講する。","◇未習中国語 外国語Ａ（8単位）／未習中国語 外国語Ｂ（10単位）共通
中国語の基礎力を身につけるべく、1年次は以下の具体的要素を定着させる。
- 声調符号を含めたピンイン表記の読み書き。
- 初学段階で最低限必要とされる単語と構文の理解。
- 簡単な中国語表現の聴解。
- 身につけた単語や文法を駆使した自己表現。",授業内容の予習・復習は当然のことであるが、さらに具体的な内容についてはクラスごとに教場で担当教員から指示がある。,クラスによって異なるので、開講時に担当教員から指示がある。,"教科書は、クラスによって異なるので、生協の教科書購入サイトで確認のこと。初回の授業には必ず持参すること。
https://www.wcoop.ne.jp/start/waseda/textbook/book.html",辞書は教場で担当教員から指示がある。参考文献についても同様。,"試験・レポート・平常点等により評価を算出する。
具体的な算出については、クラス別に担当教員から報告される。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023C112202512000023C112
2025年度,法学部,西語初級 II（基礎） ７Ｓ,岩村 健二郎,秋学期  01:火１時限／02:木１時限,未習外国語 西語(初級),１年以上,2,01:１０-１０２／02:８-１０４,"早稲田
科目キー  12000023E2  科目クラスコード  07",指定なし,"【対面】
  コース・コード  LANS201F
大分野名称  語学
中分野名称  スペイン語
小分野名称  スペイン語",中級レベル（発展・応用）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"西語未習コースは、１年次秋学期にこの「西語初級Ⅱ（基礎）」（週２コマ）と「西語初級Ⅱ（演習）」（週１コマ）を同一クラス（上記「科目名」の「○S」）で受講します。
西語初級Ⅱ（基礎）の授業では、スペイン語文法理解と読解に重点を置きます。名詞の「性」、形容詞の語尾変化、動詞の活用など、英語にはない文法的特徴に注意しながらひとつずつ知識・理解を積み上げていきます。
西語初級Ⅱ（演習）の授業では、ネイティヴ教員による口頭演習に重点が置かれます。（基礎）で身に着けた語彙や理論、仕組みの知識を実用的に会話の環境のなかで学びます。","・「授業計画」の項目の文法・語法を習得し、使い分けることができる
・習得した文法、語彙、表現を用いて簡単なスペイン語の会話ができる",宿題の有無にかかわらず次回の学習箇所の予習（語句の意味を辞書で引くなど）、各回の学習内容の復習は常に行なうこと。語学の習得には反復による蓄積が不可欠です。とくに動詞の活用形など理屈なく身に着けるほかないものは繰り返し声に出して覚えること。詳細は各クラス担当教員から指示します。,"」の項目の文法・語法を習得し、使い分けることができる
・習得した文法、語彙、表現を用いて簡単なスペイン語の会話ができる",によって変わる可能性がある。ただし一年間で到達を目指すレベルに差異はない。,各クラスの担当教員が指示する ※辞書は必ず入手すること,"割合  評価基準
試験:  70％  中間試験・期末試験など。実施方法等については各クラスの担当教員が指示する。
レポート:  各クラスの担当教員の指示に従うこと
平常点評価:  30％  授業参加状況、課題等 ※ただし割合は目安であり、クラスにより異なることがある。
その他:  各クラスの担当教員の指示に従うこと","授業開始時に、おおまかな進度やテスト予定日などのスケジュール、教科書、辞書などについて担当教員から案内します。
原則として欠席回数が総授業回数の3分の2を超えた場合、履修の意志なしとみなし、成績評価しません。授業に出席すること自体は評価の対象ではありません（評価の要件です）ので、出席の度合いと、評価の結果としての成績・合否は無関係です。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023E207202512000023E212"
2025年度,法学部,仏語中級 I（表現演習） １（秋）,マルティネル ルイ ソロ,秋学期  木１時限,既習外国語 仏語(中級I),１年以上,1,8-409コンピュータールーム,"早稲田
科目キー  12000024B8  科目クラスコード  01",指定なし,"【対面】
  コース・コード  LANF201F
大分野名称  語学
中分野名称  フランス語
小分野名称  フランス語",中級レベル（発展・応用）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",Polar FLE 2 (Niveau intemédiaire avancé),"Polarfle, méthode en ligne, facile, moderne, interactive, progressive et ludique pour apprendre le français en situations réelles de communication, expression et outils de productions écrites et orales.
当講座で使うのは「Polarfle」という警察の捜査を模した実用的なメソッドで、重要な口頭表現や文章作成を学びます。このメソッドはインターネットを使ってインターアクティブに外国語としての仏語を習得するためのものです。","Pour trouver le coupable, il faut mener l’enquête, comprendre les faits (lire, écouter), résoudre les énigmes (grammaire, vocabulaire), jouer les actes de communication (interroger, décrire), faire les rapports (parler, écrire), utiliser le lexique spécial (police, justice, droit). Jouer au policier, inspecteur, détective (Sherlock Holmes, 007, Tintin, Colombo, Kindaichi), procureur, juge, avocat, témoin, coupable. Le niveau débutant-élémentaire est facile (bases de grammaire, vocabulaire, expression) et vous allez vite progresser vers le niveau intermédiaire.
犯人を捜すために調査します。事実を理解し、謎を解き、場面設定に従って尋問や犯人描写などのコミュニケーションを取り、レポートを作り、専門用語を使いこなします。シャーロック・ホームズや００７、タンタン、コロンボ、金田一になったり、裁判官、弁護士の役を演じましょう。初心者のレベルは簡単で、文法の基礎、単語や表現方法を学び、その後、初級レベルに進みます。","L’étudiant doit imprimer en classe ou chez les pages travaillées. Le dossier doit est toujours à jour.
L’étudiant absent s’informera auprès des autres étudiants ou du professeur pour être aussi à jour.
授業で勉強した箇所をコピーすること。ファイルを最新にしておくこと。
授業欠席時は他の生徒または教員に連絡し、コピーを手に入れ、ファイルを最新にしておくこと。","1:
第１回
Présentation du niveau intermédiaire de la méthode, Révision / Lecture, écoute, compréhension (Texte)
メソッド中級レベルの説明、復習
2:
第２回
Imparfait (Leçon/Exercice)
半過去
3:
第３回
Passé composé 1 (être) (Leçon/Exercice). Activité  : (parler de son passé, de sa vie au passé composé)
複合過去１(être)、活動：自分の過去を話す。
4:
第４回
Passé composé 2 (être ou avoir) (Leçon/Exercice). Activité : (parler de sa journée  au passé composé)
複合過去２ (être ou avoir)、活動：日常について話す。
5:
第５回
Passé composé 3 (être ou avoir) (accord du participe passé) (Leçon/Exercice)
複合過去３ (être ou avoir)（過去分詞の性数一致）
6:
第６回
Petit Test écrit  1 / 小筆記テスト1
7:
第７回
Futur proche/Futur simple/Futur antérieur (Leçon/Exercice). Activité : Parler de ses projets
近い未来、単純未来、活動：計画を話す。
8:
第８回
Passé récent/Passé composé/Plus que parfait/Imparfait (Leçon/Exercice)
近い過去、複合過去、大過去、半過去
9:
第９回
De l’adjectif à l’adverbe (Leçon/Exercice)
形容詞から副詞へ
10:
第１０回
Pronoms relatifs simples (qui, que, ou) (Leçon/Exercice)
関係代名詞(qui, que, ou)
Pronoms compléments (y, en) directs (le, la, les), indirects (lui, leurs) (Leçon/Exercice)
直接目的補語、間接目的補語
11:
第１１回
Différence Passé composé/Imparfait (Leçon/Exercice)
複合過去と半過去の違い
12:
第１２回
Grand Test écrit 2  / 大筆記テスト2
13:
第１３回
Préparation de la présentation orale
Rapport d’activité (police, avocat, juge, journaliste, …) sous forme de jeu de rôle
オーラル発表の準備、ロースプレイで捜査報告（警察官、弁護士、裁判官、ジャーナリスト）をする
14:
第１４回
Test 3 Oral / Présentation du niveau intermédiaire et avancé pour les 2e semestre
テスト３、紹介と説明（後期の中級、上級レベル）","Pas de manuel, méthode en ligne http://www.polarfle.com. L’étudiant imprime les pages (leçons/exercices/corrigés) à chaque cours en salle multimédia, à la maison. Le professeur distribue des documents. Le dossier des documents sert de manuel, sera contrôlé et noté.
教科書はありませんが、インターネット上のサイトを使ってhttp://www/polarfle.com 勉強します。マルチメディア教室や家で授業のページ（レッスン、添削した練習問題）を準備し、各自が自分の授業用ファイルを作ります。ファイルは提出してもらい、採点します。","Des petits livres, lectures faciles, des polars, des films noirs, des bandes dessin?es
簡単に読める本、推理小説、フィルム・ノワール、漫画","割合  評価基準
試験:  60％  Petit test écrit 1 /30 / 小筆記テスト/30
Grand test écrit 2 /30 / 大筆記テスト/30
レポート:  10％  Devoir/Tenue de Dossier/Rédaction du Rapport/10 / 宿題/ファイル管理/レポート/10
平常点評価:  30％  Présence/Participation/10 / 出席/授業態度/10
Test oral 3/Présentation du rapport/30 / オーラルテスト/レポート/30
その他:  3 absences non justifiées>Disqualifié (F) / 理由の説明出来ない欠席が3回以上ある場合は評価できません（F）","Interdit de surfer sur internet et regarder les mails privés pendant le cours. Toujours avoir son dossier et des feuilles banches
授業に関係ないインターネットのページを見たり、自分のメールをチェックしたりすることは禁止です。常にファイルと白紙のノートを用意しておいて下さい。
Polar FLE
https://web.archive.org/web/20161013090533/http://www.polarfle.com/index.html
Ce lien est archivé donc protégé et difficile d’accès. Le professeur distribuera un guide.
On verra ensemble comment y accéder
上のアドレスはたどり着くのが難しいです。ガイドを配布します。
一緒にするので心配しないで下さい。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000024B801202512000024B812開講年度"
2025年度,法学部,仏語中級 I（表現演習） ２（秋）,マニゴ ヴァンサン,秋学期  木１時限,既習外国語 仏語(中級I),１年以上,1,８-３１０,"早稲田
科目キー  12000024B8  科目クラスコード  02",指定なし,"【対面】
  コース・コード  LANF201F
大分野名称  語学
中分野名称  フランス語
小分野名称  フランス語",中級レベル（発展・応用）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"春学期に続き、この授業では、ネイティブがよく使う表現を学ぶことで、積極的に会話に参加できる能力を養います。フランスの社会や文化を扱ったテクストを中心に、聴解力や読解力の向上や、語彙力を高めて一つのテーマについて簡単なディスカッションができるようになるための表現練習を行います。音声や映像資料も使い、現地での実践を具体的にイメージできるように授業を行います。フランス語で会話する機会を楽しんでいただければと思います。
授業計画はあくまでも目安であり、多少変わる可能性があります。
春学期の授業に参加していない方も、秋学期から参加可能です。","・現地で実際に役立つフランス語能力を身につける。
・フランス語での自然な表現力を身につける。
・語彙を増やし、表現方法を豊かにする。","必要に応じて文法などの説明をしますが、初級の語彙と文法を事前に復習してください。
事前学習：単語集や辞書を使用し、知らない単語を調べ、テクストの読解、音読の練習、練習問題をしてください。
事後学習：新しく学んだ語句、動詞の活用などの復習をしましょう。
各回の予習・復習には60分程度かかると想定されます。","はあくまでも目安であり、多少変わる可能性があります。
春学期の授業に参加していない方も、秋学期から参加可能です。",『Maestro 2』（朝日出版社）、生協にて取り扱い有り,,"割合  評価基準
試験:  50％  学期末試験
平常点評価:  50％  出席、参加態度、毎回の授業準備などによる評価。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000024B802202512000024B812開講年度
