開講年度,開講箇所,科目名,担当教員,学期曜日時限,科目区分,配当年次,単位数,使用教室,キャンパス,授業で使用する言語,授業方法区分,レベル,授業形態,副題,授業概要,授業の到達目標,事前・事後学習の内容,授業計画,教科書,参考文献,成績評価方法,備考・関連URL
2025年度,法学部,English: Gate ２Ｓ-1,夏目 康子,秋学期  水１時限,既習外国語 英語(Gate),１年以上,1,８-３１２,"早稲田
科目キー  1200002004  科目クラスコード  62",指定なし,"【対面】
  コース・コード  LANE101F
大分野名称  語学
中分野名称  英語
小分野名称  英語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"1年生では春学期にBridge、秋学期にGateを履修します。どちらも同じクラスで受講し、週2回の授業があり、そのうち1回はネイティブスピーカーが担当するクラスを履修します。
Bridgeでは、総合的な技能の向上に努める一方で、特にリスニングとスピーキングに焦点を当てます。
Gateでは、総合的な英語技能の向上に努める一方で、特にライティングに力点をおきます。","Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。
Gate（秋学期）では、書くための下地として、参考文献を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。",予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明します。,授業計画については科目ごとに異なっているので、初回の授業にて確認すること。,各担当教員が指定します。,を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。,"各担当教員が初回の授業で説明します。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200002004622025120000200412
2025年度,法学部,English: Gate ２Ｄ-2,鈴木 理恵子,秋学期  水１時限,既習外国語 英語(Gate),１年以上,1,８-４０１,"早稲田
科目キー  1200002005  科目クラスコード  02",指定なし,"【対面】
  コース・コード  LANE101F
大分野名称  語学
中分野名称  英語
小分野名称  英語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"1年生では春学期にBridge、秋学期にGateを履修します。どちらも同じクラスで受講し、週2回の授業があり、そのうち1回はネイティブスピーカーが担当するクラスを履修します。
Bridgeでは、総合的な技能の向上に努める一方で、特にリスニングとスピーキングに焦点を当てます。
Gateでは、総合的な英語技能の向上に努める一方で、特にライティングに力点をおきます。","Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。
Gate（秋学期）では、書くための下地として、参考文献を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。",予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明します。,授業計画については科目ごとに異なっているので、初回の授業にて確認すること。,各担当教員が指定します。,を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。,"各担当教員が初回の授業で説明します。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200002005022025120000200512
2025年度,法学部,English: Gate ７Ｄ-2,トクマ ウォン,秋学期  水１時限,既習外国語 英語(Gate),１年以上,1,８-１０４,"早稲田
科目キー  1200002005  科目クラスコード  07",指定なし,"【対面】
  コース・コード  LANE101F
大分野名称  語学
中分野名称  英語
小分野名称  英語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"1年生では春学期にBridge、秋学期にGateを履修します。どちらも同じクラスで受講し、週2回の授業があり、そのうち1回はネイティブスピーカーが担当するクラスを履修します。
Bridgeでは、総合的な技能の向上に努める一方で、特にリスニングとスピーキングに焦点を当てます。
Gateでは、総合的な英語技能の向上に努める一方で、特にライティングに力点をおきます。","Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。
Gate（秋学期）では、書くための下地として、参考文献を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。",予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明します。,授業計画については科目ごとに異なっているので、初回の授業にて確認すること。,各担当教員が指定します。,を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。,"各担当教員が初回の授業で説明します。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200002005072025120000200512
2025年度,法学部,English: Gate １１Ｃ-2,下田 啓,秋学期  水１時限,既習外国語 英語(Gate),１年以上,1,８-３０９,"早稲田
科目キー  1200002005  科目クラスコード  4B",指定なし,"【対面】
  コース・コード  LANE101F
大分野名称  語学
中分野名称  英語
小分野名称  英語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"1年生では春学期にBridge、秋学期にGateを履修します。どちらも同じクラスで受講し、週2回の授業があり、そのうち1回はネイティブスピーカーが担当するクラスを履修します。
Bridgeでは、総合的な技能の向上に努める一方で、特にリスニングとスピーキングに焦点を当てます。
Gateでは、総合的な英語技能の向上に努める一方で、特にライティングに力点をおきます。","Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。
Gate（秋学期）では、書くための下地として、参考文献を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。",予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明します。,授業計画については科目ごとに異なっているので、初回の授業にて確認すること。,各担当教員が指定します。,を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。,"各担当教員が初回の授業で説明します。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000020054B2025120000200512開講年度
2025年度,法学部,English: Gate １K-2,メドウズ アラン,秋学期  水１時限,既習外国語 英語(Gate),１年以上,1,８-１０５,"早稲田
科目キー  1200002005  科目クラスコード  71",指定なし,"【対面】
  コース・コード  LANE101F
大分野名称  語学
中分野名称  英語
小分野名称  英語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",Gate,"1年生では春学期にBridge、秋学期にGateを履修します。どちらも同じクラスで受講し、週2回の授業があり、そのうち1回はネイティブスピーカーが担当するクラスを履修します。
Bridgeでは、総合的な技能の向上に努める一方で、特にリスニングとスピーキングに焦点を当てます。
Gateでは、総合的な英語技能の向上に努める一方で、特にライティングに力点をおきます。","Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。
Gate（秋学期）では、書くための下地として、参考文献を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。",予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明します。,授業計画については科目ごとに異なっているので、初回の授業にて確認すること。,各担当教員が指定します。,を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。,"各担当教員が初回の授業で説明します。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200002005712025120000200512開講年度
2025年度,法学部,English: Theme ２０（秋）,チェインバーズ ガルシア セント アービン,秋学期  水１時限,既習外国語 英語(Theme),２年以上,1,１０-３０１,"早稲田
科目キー  120000201F  科目クラスコード  20",指定なし,"【対面】
  コース・コード  LANE201F
大分野名称  語学
中分野名称  英語
小分野名称  英語",中級レベル（発展・応用）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",Critiquing Issues in Public Speeches II,"Speeches are powerful in introducing interesting topics and can sometimes capture moments that change the course of history. The topics and issues contained in public speeches can cover politics, economics, sociology, psychology, philosophy, the biological and environmental sciences, and more. On this course, our main study materials are performed speeches and their scripts. After understanding the background to the speech, the speaker’s motivation and the audience, you will begin to identify, analyze, and critique the issues or points of the speech. The speech itself is not the real focus; instead, it is the opportunity it presents to us to consider the issues and challenges of society it mentions. Through doing further research and discussion of the issues you can become better informed and empowered to take action for self, society, and humanity.","At the end of this course students will:
1) enhance their skills of expansion reading and research;
2) expand their knowledge on topics from an interdisciplinary perspective;
3) develop an understanding of and appreciation for the inter-relatedness and complexity of issues faced by the individual and society;
4) develop critical thinking skills and be able to formulate opinions on topics studied;
5) and organically acquire an activist and aesthetic attitude towards public speeches as powerful tools to not only inspire but also change minds and hearts.","Homework is given regularly to help you review the class contents, and learn how to find materials for your own study. You need to spend the same amount of time as the lesson itself for self-study (preview and review).
Outside of class tasks will include writing mini-reports after viewing the speeches and reading their scripts. In addition to doing further research, worksheets will be provided for identifying and critiquing issues / points in certain speeches to be later shared and discussed in class.","Week 1: Course orientation; Introduction to Public Speech Critique; Assigning first speech
Week 2: Speech #1: The Hill We Climb- Amanda Gorman
Week 3: Further research sharing; Analysis & Discussion
Week 4: Reflection and Making Connections
Week 5: Speech #2: Connecting the Dots - Steve Jobs
Week 6: Further research sharing; Analysis & Discussion
Week 7: Reflection and Making Connections
Week 8: Speech #3: The Benefits of Failure- J.K. Rowling
Week 9: Further research sharing; Analysis & Discussion
Week 10: Reflection and Making Connections
Week 11: Summarizing / Reviewing; Choosing topic and Obtaining approval for final paper
Week 12: Library Visit and Research / Essay Writing Consultation
Week 13: Tutorial on Academic writing and Research Ethics
Week 14: Wrapping up: Consultations; Feedback on Final Research Paper Progress; Confirming Final Paper Due Date",There is none. Prints will be provided as necessary.,,"The final grade will be based on:
Contribution to research sharing and discussion activities: 30%
Written Summary and Analysis Assignments (2x10): 20%
A Final Research Paper: 50%","http://www.englishspeecheschannel.com/
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=120000201F202025120000201F12開講年度"
2025年度,法学部,English: Theme ３８（秋）,ファリア ジェラウド,秋学期  水１時限,既習外国語 英語(Theme),２年以上,1,１０-３０５,"早稲田
科目キー  120000201F  科目クラスコード  38",指定なし,"【対面】
  コース・コード  LANE201F
大分野名称  語学
中分野名称  英語
小分野名称  英語",中級レベル（発展・応用）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",Language Policy and Planning,"Language Policy and Planning (LPP) is a field that examines how different entities, e.g., government departments and agencies, academies, committees, popular societies, and individuals, intentionally influence the language spoken by given groups. This course covers various topics, including language planning, language varieties, social standing, corpus planning, language-in-education planning, standardization, second-language acquisition, language of migrants, language endangerment, language revitalization, and language promotion in multinational corporations. By exploring these topics, students will gain a comprehensive overview of LPP and familiarize with how policies can endorse certain language varieties while downgrading others.
For the conclusion of the term, students are expected to submit a 1000-word essay with citations on a specific topic that will be provided at the beginning of the semester. According to personal interests, students can choose a topic that directly refers to LPP.
* Note that the suggested topics may vary slightly depending on the number of registered students and their interests.
** In principle, the entire semester will be taught in person, but if there is a need to set up a make-up class, it will be on-demand.
*** Students are asked to download handouts from Moodle before each class and print them out or bring them on a digital device.","By the end of this course, students are expected to achieve the following learning objectives:
1. Gain knowledge about language engineering and standardization.
2. Identify and differentiate the various types of language policies that are more widely employed.
3. Analyze the pros and cons of different language policies.
4. Understand the impact of language policies on individuals and larger communities.
5. Promote social understanding and justice in schools, communities, and corporations.
6. Understand and summarize main arguments to be presented in academic writings.
7. Develop skills to engage in mindful, reflexive, and argumentative dialogue.
8. Improve intermediate to advanced English skills required for academic purposes.
9. Learn how to write an academic essay and provide supporting annotations.","Homework (Preparation and Review)
1. Students will be required to read the weekly assigned texts prior to the class.
2. Students will be required to write a 1000-word essay with citations to be submitted in Week 7 and at the end of the term.","1:
Introduction: 1. Course Overview 2. Understanding LPP.
1. Course overview.
2. Definitions and examples of language policies.
3. Discussion.
Req. reading: ‘Laying the Groundwork’in Johnson, D.C. (2013). Language Policy. London: Palgrave MacMillan. Pages:4-9.
2:
Theories, Concepts, and Frameworks: 1. Historical Overview. 2. Types of LPP and Linguistic Imperialism.
1. Historical overview.
2. Types of LPP and Linguistic Imperialism.
3. Discussion.
Req. Reading: ‘Language Planning’ in Crystal, D. (2011). The Cambridge Encyclopedia of Language. Cambridge: CUP. Pages:6-7
3:
Language Standardization and Governmental Prescriptions: 1. Definition. 2. Economical and Political Advantages. 3. Language Shift as a Result.
1. What is Language Standardization?
2. Economic and Political Advantages.
3. Language Shift as a result.
4. Case study: The Chinese language-engineering plan.
5. Selection of topics for research papers.
6. Discussion.
Req. Reading: ‘The single ‘national’ language’ in Wright, S. (2016). Language Policy and Language Planning: From Nationalism to Globalisation. London: Palgrave MacMillan.Pages: 80-85.
4:
Language and Social Class: 1. Social Stratification and Linguistic Differentiation within Society.
1. What is social stratification and linguistic differentiation within society?
2. Attitudes and behaviors.
3. Case Study: Language of the Castes in India; English Markers of Social Class.
4. Discussion.
5. Guidance and Overview of ResearchPapers.
Req. Reading: ‘Seeing‘Super-Diversity’’ in Piller, I. (2016). Linguistic Diversity and Social Justice.Oxford: OUP. Pages: 21-24.
5:
Language and Geography: 1. National Language as a Geopolitical Marker of a Territory. 2. A Central Register vs. Regional Dialects.
1. Is a national language a geopolitical marker of a territory?
2. A central register versus regional dialects.
3. Examples of language policies related to dialects.
4. Discussion.
Req. Reading: ‘Debating the Territorial Principle’ in Piller, I. (2016). Linguistic Diversity and Social Justice. Oxford: OUP. Pages: 39-44.
6:
Researching LPP: 1. Designing an LLP Project. 2. Examples of LLP Projects.
1. Designing an LLP project.
2. Researching the topic.
3. Findings, critique, and text production.
4. Examples of LLP projects.
5. Discussion.
Req. reading: ‘Research directions and projects’ in Johnson, D.C. (2013). Language Policy. London: PalgraveMacMillan. Pages: 215-218.
7:
Language and Gender: 1. Gender-specific Registers. 2. Sexism and stereotypes in Schoolbooks.
1. What are gender-specific registers? Does changing the way we speak change the way we think?
2. Sexism and stereotypes in school books.
3. Language
4. Examples of language policies.
5. Discussion.
6. Midterm.
Req. Reading: ‘The linguistic construction of gender’ in Holmes J., & Wilson, N. (2017). An Introduction to Sociolinguistics. Oxon: Routledge. Pages: 342-347.
8:
Foreign Language Studies: 1. Second Language Education. 2. Implication and Challenges. 3. Case Studies.
1. Which language to teach as a second language in schools?
2. Implications and challenges.
3. Case study: Brazil, from French to English, why not Spanish?
4. Discussion.
Req. Reading: ‘Educational Policy’ in Crystal, D. (2011). The Cambridge Encyclopedia of Language. Cambridge: CUP. Pages: 378-379.
9:
Multilingualism: 1. Human Rights. 2. Multilingual Societies. 3. Attitudes towards Multilingualism.
1. Isn’t multilingualism a human right?
2. Pros and Cons of a multilingual society.
3. Case studies: Switzerland versus India.
4. Different attitudes towards multilingualism.
5. Discussion.
Req. Reading: ‘Being Bilingual’ inCrystal, D. (2011). The Cambridge Encyclopedia of Language. Cambridge: CUP. Pages: 374-375.
10:
Endangered Languages: 1. LPP and Language Death. 2. Globalization and Endangerment. 3. Revitalization.
1. Does LPP lead to language death?
2. Understanding how lingua franca and globalization lead to endangerment.
3. Reversing language shift.
4. Examples of revitalization in small communities.
5. Discussion.
Req. reading: ‘Reversing LanguageShift and Linguistic Imperialism’ in Johnson, D.C. (2013). Language Policy. London: Palgrave MacMillan. Pages: 47-50.
11:
Migration and Language Shift: 1. Case Studies. 2. Transitioning, Assimilation, and Acquisition. 3. The Next Generation.
1. How can countries deal with the language needs of migrants?
2. Linguistic transitioning and Second language acquisition.
3. Addressing the language of the next generation.
4. Case study: Germany.
5. Discussion
Req. Reading: ‘Migration and Movement’ in Wright, S. (2016). Language Policy and Language Planning: From Nationalism to Globalisation. London: Palgrave MacMillan.Pages: 213-216
12:
Profession-Specific Registers: 1. Technical Language. 2. Bridging the Issue: Easy English, Easy Japanese. 3. Second-Language Tests and Job Promotions.
1. Is technical language a means to distance groups from non-specialists?
2. Types of profession-specific registers.
3. Proposals to bridge the issue: easy English, easy Japanese.
4. Connecting second-language tests to promotions.
5. Discussion.
6. Update of students’ research papers.
Req. Reading: ‘The language of science’ in Crystal, D. (2011). The Cambridge Encyclopedia of Language. Cambridge: CUP. Pages: 400-401
13:
Linguistic Diversity and Global Justice: 1. Psychological Damages. 2. Injustices of ESL Education. 3. ESL's Limitations as an academic language.
1. Can Global English cause psychological damages
2. Injustices of English Language Education.
3. Injustices and limitations of English as a Global Academic Language.
4. Discussion.
Req. reading: ‘Language and Development’in Piller, I. (2016). Linguistic Diversity and Social Justice. Oxford: OUP. Pages: 165-172.
14:
Final Exam and Review Session.
Final Exam Review Session.",Handouts and required readings will be provided via Moodle. There are no set textbooks.,"Crystal, D. (2011). The Cambridge Encyclopedia of Language. Cambridge: CUP.
Holmes J., & Wilson, N. (2017). An Introduction to Sociolinguistics. Oxon: Routledge.
Johnson, D.C. (2013). Language Policy. London: Palgrave MacMillan.
Piller, I. (2016). Linguistic Diversity and Social Justice. Oxford: OUP.
Wright, S. (2016). Language Policy and Language Planning: From Nationalism to Globalisation. London: Palgrave MacMillan.","割合  評価基準
試験:  40％  Week 7: Midterm Exam 20% and Week 14: Final Exam 20%
レポート:  40％  Week 7: First Draft 20% and Week 14: Final Draft 20%
その他:  20％  Homework, Classwork, and Participation in Class",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=120000201F382025120000201F12開講年度
2025年度,法学部,独語初級 II（演習） ５Ｄ,グユルベルク ニールス,秋学期  水１時限,未習外国語 独語(初級),１年以上,1,８-４０３,"早稲田
科目キー  12000023A4  科目クラスコード  05",指定なし,"【対面】
  コース・コード  LANG101F
大分野名称  語学
中分野名称  ドイツ語
小分野名称  ドイツ語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,日本人教員が担当する「基礎」（週2回）と、ドイツ語ネイティブスピーカーが担当する「演習」（週1回）とで進められます。「基礎」と「演習」はそれぞれ独立した内容です。教材は、各教員が指定したものを使用します。「基礎」では、接続法（英語の仮定法に相当）までのドイツ語文法の基礎を一年間で一通り学習し、クラスによっては、柔軟な読解力やコミュニケーション能力の養成を目指した発展的な学習も行います。「演習」では、ドイツ語ネイティブスピーカーにより、会話や作文等の、実践的なドイツ語運用能力を発展させるための指導が行われます。,ドイツ語文法の基礎をしっかりと身につけながら基本的な語彙や表現も習得し、2年次以降の発展的学習を支える基盤を作ります。さらに、テキストの読解やコミュニケーションのための基本的な訓練を行い、ドイツ語圏からの情報を得るための、あるいはドイツ語での交流を行うための基礎的な力を身につけることを目標とします。,事前の準備学習および事後学習については、各教員の指示にしたがってください。ただし、事後学習をどれだけ丁寧に行うかが語学の習得にとっては大変重要ですので、作業的に宿題をこなすだけではなく、学習内容を定着させるという意識で事後学習にのぞんでください。,授業計画は各教員ごとに異なります。初回授業時に確認してください。,各教員が指定する教科書を用います。,,"試験50％
平常点評価50％
以上の割合は目安です。各教員ごとに異なる場合がありますので、各クラスにて確認してください。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023A405202512000023A412開講年度
2025年度,法学部,仏語初級 II（演習） ２Ｆ,マニゴ ヴァンサン,秋学期  水１時限,未習外国語 仏語(初級),１年以上,1,８-３１１,"早稲田
科目キー  12000023B4  科目クラスコード  02",指定なし,"【対面】
  コース・コード  LANF101F
大分野名称  語学
中分野名称  フランス語
小分野名称  フランス語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"初めてフランス語を学ぶ人を対象とした授業です。週1回、主に会話的な表現を学びます。秋学期は、過去や未来のこと、仮定のことなどについての会話が可能になるよう、口頭表現と聞き取りを学びます。
 主に文法を学ぶ「初級（基礎）」との間で、教材の面でも、授業の面でも連携を強めておこなっていきます。",2年次の中級Ⅰにつながるレベルまでの到達を目指します。2年次には中級Ⅰの授業を週2回取ってもらい、読み、書き、話し、聞く能力を養います。具体的には、身近な話題について、ある程度、話しができ、多少文法的な誤りがあっても自分の意志や考えを相手に伝えることができることをめざします。また、自分の個人的経験などを文章化でき、それなりに自立した言語使用ができることを目標とします（ヨーロッパ言語共通参照枠のB1）。,春学期から引き続き、授業内容の復習が不可欠です。一方、練習問題などの予習が必要になっていきます。,春学期で学んだことを前提に、過去や未来のこと、仮定のことなどについての口頭表現と聞き取りを順番に学んでいきます。,Maestro 1（予定）,授業で指示します,"割合  評価基準
試験:  70％  期末試験および小テストの成績
平常点評価:  30％  出席状況、授業における活動状況、宿題等。なお、左記の割合は目安であり、クラスにより異なることがある。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023B402202512000023B412開講年度
2025年度,法学部,中国語初級 I（演習） １２Ｃ,陸 偉栄,秋学期  水１時限,未習外国語 中国語(初級),１年以上,1,１０-２０３,"早稲田
科目キー  12000023C3  科目クラスコード  12",指定なし,"【対面】
  コース・コード  LANC101F
大分野名称  語学
中分野名称  中国語
小分野名称  中国語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"◇未習中国語 外国語Ａ（8単位）／未習中国語 外国語Ｂ（10単位）共通
- 日本人教員による「基礎」（週2）と中国人教員による「演習」（週1）の計3コマを受講する。
- 中国語の基礎力の定着をめざすべく、口頭表現の訓練に重点を置き、発音の練習や文法・単語の学習を進める。
※2年次「中級」に進級した際の学修の連繋について
- 外国語Ａ：２年次の中級では、日本人教員もしくは中国人教員によるテーマ別科目を各自が週1コマ選択履修する。
- 外国語Ｂ：初～中級を2年間同一クラスで学ぶ一貫コース。
 ２年次は日本人教員による「総合」（週1）と中国人教員による「コミュニケーション」（週1）の計2コマを受講する。","◇未習中国語 外国語Ａ（8単位）／未習中国語 外国語Ｂ（10単位）共通
中国語の基礎力を身につけるべく、1年次は以下の具体的要素を定着させる。
- 声調符号を含めたピンイン表記の読み書き。
- 初学段階で最低限必要とされる単語と構文の理解。
- 簡単な中国語表現の聴解。
- 身につけた単語や文法を駆使した自己表現。",授業内容の予習・復習は当然のことであるが、さらに具体的な内容についてはクラスごとに教場で担当教員から指示がある。,クラスによって異なるので、開講時に担当教員から指示がある。,"教科書は、クラスによって異なるので、生協の教科書購入サイトで確認のこと。初回の授業には必ず持参すること。
https://www.wcoop.ne.jp/start/waseda/textbook/book.html",辞書は教場で担当教員から指示がある。参考文献についても同様。,"試験・レポート・平常点等により評価を算出する。
具体的な算出については、クラス別に担当教員から報告される。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023C312202512000023C312開講年度
