開講年度,開講箇所,科目名,担当教員,学期曜日時限,科目区分,配当年次,単位数,使用教室,キャンパス,授業で使用する言語,授業方法区分,レベル,授業形態,副題,授業概要,授業の到達目標,事前・事後学習の内容,授業計画,教科書,参考文献,成績評価方法,備考・関連URL
2025年度,法学部,English: Gate ３Ｃ-1,藤本 智香,秋学期  火１時限,既習外国語 英語(Gate),１年以上,1,8-201コンピュータールーム,"早稲田
科目キー  1200002004  科目クラスコード  43",指定なし,"【対面】
  コース・コード  LANE101F
大分野名称  語学
中分野名称  英語
小分野名称  英語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"1年生では春学期にBridge、秋学期にGateを履修します。どちらも同じクラスで受講し、週2回の授業があり、そのうち1回はネイティブスピーカーが担当するクラスを履修します。
Bridgeでは、総合的な技能の向上に努める一方で、特にリスニングとスピーキングに焦点を当てます。
Gateでは、総合的な英語技能の向上に努める一方で、特にライティングに力点をおきます。","Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。
Gate（秋学期）では、書くための下地として、参考文献を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。",予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明します。,授業計画については科目ごとに異なっているので、初回の授業にて確認すること。,各担当教員が指定します。,を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。,"各担当教員が初回の授業で説明します。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200002004432025120000200412
2025年度,法学部,English: Gate ７Ｃ-2,ローリー ゲイ,秋学期  火１時限,既習外国語 英語(Gate),１年以上,1,８-３１２,"早稲田
科目キー  1200002005  科目クラスコード  47",指定なし,"【対面】
  コース・コード  LANE101F
大分野名称  語学
中分野名称  英語
小分野名称  英語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18","The Environment: Listening, reading, and writing","1年生では春学期にBridge、秋学期にGateを履修します。どちらも同じクラスで受講し、週2回の授業があり、そのうち1回はネイティブスピーカーが担当するクラスを履修します。
Bridgeでは、総合的な技能の向上に努める一方で、特にリスニングとスピーキングに焦点を当てます。
Gateでは、総合的な英語技能の向上に努める一方で、特にライティングに力点をおきます。","Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。
Gate（秋学期）では、書くための下地として、参考文献を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。",予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明します。,"Throughout history, the three most important activities of students have remained unchanged: read, write, discuss. Gate courses are designed to improve students’ comprehension of spoken and written English; and to develop their academic writing skills.",There is no set textbook for this class.,を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。,"Students will be required to:
1. attend classes regularly, contributing actively to pair work and small group discussions;
2. submit regular in-class summary sheets;
3. successfully complete a listening and speaking test at the end of the semester;
4. successfully complete a written summary test at the end of the semester.","★Want to deepen your understanding of the environment and make an impact?
Explore the options offered in the カーボンニュートラルリーダー副専攻 offered via the Global Education Center.
See: https://www.waseda.jp/inst/gec/undergraduate/minor-2/
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200002005472025120000200512"
2025年度,法学部,English: Gate ４Ｓ-2,ファイラー ジャミェル チャールズ,秋学期  火１時限,既習外国語 英語(Gate),１年以上,1,１０-３０３,"早稲田
科目キー  1200002005  科目クラスコード  64",指定なし,"【対面】ハイブリッド（対面回数半数以上）
  コース・コード  LANE101F
大分野名称  語学
中分野名称  英語
小分野名称  英語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",リアルタイム配信に入れる授業形態（ZOOM）,"1年生では春学期にBridge、秋学期にGateを履修します。どちらも同じクラスで受講し、週2回の授業があり、そのうち1回はネイティブスピーカーが担当するクラスを履修します。
Bridgeでは、総合的な技能の向上に努める一方で、特にリスニングとスピーキングに焦点を当てます。
Gateでは、総合的な英語技能の向上に努める一方で、特にライティングに力点をおきます。","Bridge（春学期）では、高校までの英語と、大学で学ぶ英語の橋渡しをします。
Gate（秋学期）では、書くための下地として、参考文献を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。",予習と、宿題を通した学習内容の復習。詳細は各担当教員から説明します。,授業計画については科目ごとに異なっているので、初回の授業にて確認すること。,各担当教員が指定します。,を適切に読み解き、まとめる力を育成します。また剽窃に対する理解を深め、アカデミックライティングのルールを学び、2年生以降のより高度な言語活動を行うための基礎を作ります。,"各担当教員が初回の授業で説明します。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200002005642025120000200512
2025年度,法学部,English: Intensive Theme ２（秋）,本山 哲人,秋学期  01:火１時限／02:金１時限,既習外国語 英語(Intensive Theme),２年以上,2,01:８-４０３／02:７-２０１,"早稲田
科目キー  1200002022  科目クラスコード  02",指定なし,"【対面】ハイブリッド（対面回数半数以上）
  コース・コード  LANE301F
大分野名称  語学
中分野名称  英語
小分野名称  英語",上級レベル,"外国語
  コース・コード  PHLM301F
大分野名称  哲学
中分野名称  倫理学
小分野名称  概論",Bioethics,"Politics, Economy & Law and Society
***************************************
 Students will watch short instruction videos and complete a number of tasks, assignments, and quizzes each class. The final grade will be based on classwork, a presentation, and a 1,500-word final paper.
 This class will deal with specific issues in bioethics; the aim of the lessons will be to help students develop intermediate to advanced English skills for academic purposes; there will be equal emphasis on reading, listening, speaking and writing. Students will practice reading and writing under pressure, as well as presenting arguments and conducting discussions in English.
 The class will cover specific issues in bioethics that deal with birth, death and the quality of life.
 Each lesson will be divided into several parts. First, students will study vocabulary for standardized English tests （especially for the TOEFL) and will be quizzed on the words they learned the previous week. Then they will watch a scene from a film or a news report that deals with the subject to be discussed; they will practice taking notes of important information, transcribing what they have heard, and writing short summaries or opinions in class about what they have watched. After this, they will read textbook accounts about the topic. It is hoped that students will learn how to pick up important information as they read. A discussion on the topic will then follow.
 Students will also learn how to make academic presentations. Students will be expected to give one main presentation at the end of the semester, on a subject connected to one of the chosen topics; they will then use this presentation to write the final paper.
**************************************
{Important Notice] In principle, less than half of each lesson will be provided as on-demand material on Moodle. The class will meet in person twice a week, so students will have to participate in the in-person portion of the class as well as do the on-demand tasks for attendance. Handouts and other materials will be distributed on Moodle, so students will need to download them before each lesson.","Theme is a content-based class that aims to have students acquire the ability to do the following in English:
1. To understand and summarize the written and spoken arguments of others.
2. To formulate well-developed and logical arguments and convey them.
3. To learn to use English for academic purposes.","(Students are expected to spend about an hour to an hour and a half before each class, going over reading materials, putting together short talks, and preparing for quizzes--this will not apply this semester.)","Week 1:  
1st and 2nd classes
The following is a general guide and changes may be made during the semester.
Guidance
Introduction
Week 2:  
3rd and 4th classes
Reading-Surrogacy I-Comprehension
Vocabulary I; Film/News Report-Dictation, Comprehension, and Writing
Week 3:  
5th and 6th classes
Reading-Surrogacy II-Comprehension and Discussion
Vocabulary II; Film/News Report-Dictation, Comprehension, and Writing
Week 4:  
7th and 8th classes
Reading-Surrogacy III-Comprehension
Vocabulary II; Film/News Report-Dictation, Comprehension, and Writing
Week 5:  
9th and 10th classes
Reading-Surrogacy IV-Comprehension and Discussion
Vocabulary III; Film/News Report-Dictation, Comprehension, and Writing
Week 6:  
11th and 12th classes
Reading-Surrogacy V-Comprehension and Discussion
Vocabulary IV; Film/News Report-Dictation, Comprehension, and Writing
Week 7:  
13th and 14th classes
Reading-Surrogacy VI-Comprehension, and Discussion
Vocabulary V; Film/News Report-Dictation, Comprehension, and Writing
Week 8:  
15th and 16th classes
Reading-Mandatory Testing I-Comprehension
Vocabulary VI; Film/News Report-Dictation, Comprehension, and Writing
Week 9:  
17th and 18th classes
Reading-Mandatory Testing II-Comprehension, and Discussion
Vocabulary VII; Film/News Report-Dictation, Comprehension, and Writing
Week10:  
19th and 20th classes
Reading-Mandatory Testing III-Comprehension
Vocabulary VIII; Film/News Report-Dictation, Comprehension, and Writing
Week11:  
21st and 22nd classes
Reading-Mandatory Testing IV-Comprehension, and Discussion
Vocabulary IX; Film/News Report-Dictation, Comprehension, and Writing
Week12:  
23rd and 24th classes
Reading-Mandatory Testing V-Comprehension
Vocabulary X; Film/News Report-Dictation, Comprehension, and Writing
Week13:  
25th and 26th classes
Reading-Mandatory Testing VI-Comprehension, and Discussion
Presentations
Week14:  
27th and 28th classes
Presentations
Review
:",Handouts,,"割合  評価基準
レポート:  40％  A final paper based on a presentation.
平常点評価:  60％  Weekly quizzes, classwork, homework, and participation in class.
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200002022022025120000202212
2025年度,法学部,独語初級 I（演習） ８Ｄ,グユルベルク ニールス,秋学期  火１時限,未習外国語 独語(初級),１年以上,1,８-Ｂ１０６,"早稲田
科目キー  12000023A3  科目クラスコード  08",指定なし,"【対面】
  コース・コード  LANG101F
大分野名称  語学
中分野名称  ドイツ語
小分野名称  ドイツ語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,日本人教員が担当する「基礎」（週2回）と、ドイツ語ネイティブスピーカーが担当する「演習」（週1回）とで進められます。「基礎」と「演習」はそれぞれ独立した内容です。教材は、各教員が指定したものを使用します。「基礎」では、接続法（英語の仮定法に相当）までのドイツ語文法の基礎を一年間で一通り学習し、クラスによっては、柔軟な読解力やコミュニケーション能力の養成を目指した発展的な学習も行います。「演習」では、ドイツ語ネイティブスピーカーにより、会話や作文等の、実践的なドイツ語運用能力を発展させるための指導が行われます。,ドイツ語文法の基礎をしっかりと身につけながら基本的な語彙や表現も習得し、2年次以降の発展的学習を支える基盤を作ります。さらに、テキストの読解やコミュニケーションのための基本的な訓練を行い、ドイツ語圏からの情報を得るための、あるいはドイツ語での交流を行うための基礎的な力を身につけることを目標とします。,事前の準備学習および事後学習については、各教員の指示にしたがってください。ただし、事後学習をどれだけ丁寧に行うかが語学の習得にとっては大変重要ですので、作業的に宿題をこなすだけではなく、学習内容を定着させるという意識で事後学習にのぞんでください。,授業計画は各教員ごとに異なります。初回授業時に確認してください。,各教員が指定する教科書を用います。,,"試験50％
平常点評価50％
以上の割合は目安です。各教員ごとに異なる場合がありますので、各クラスにて確認してください。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023A308202512000023A312
2025年度,法学部,独語初級 II（演習） １Ｄ,グラスミュック マルクス,秋学期  火１時限,未習外国語 独語(初級),１年以上,1,１０-２０４,"早稲田
科目キー  12000023A4  科目クラスコード  01",指定なし,"【対面】ハイブリッド（対面回数半数以上）
  コース・コード  LANG101F
大分野名称  語学
中分野名称  ドイツ語
小分野名称  ドイツ語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"「読む」「聴く」「話す（やりとり）」「話す（発表）」「書く」の4技能5領域を総合的に発展させ、ドイツ語コミュニケーション能力の育成を目指す「総合コミュニケーションコース」です。ドイツで作成された統一教材を用います。担当教員がチームとして授業を展開していきますので、2年間一貫したカリキュラムで勉強できます。
1年次は週3回（6単位）の授業のうち、週2回（4単位）は日本人教員、週1回（2単位）はドイツ語ネイティブスピーカーが担当します。2年次は日本人教員、ドイツ語ネイティブスピーカーの授業が各1回ずつとなります。「総合コミュニケーションコース」では、2年間同一クラスで、1年次・2年次とも、各クラスに指定された授業を履修します。",ドイツ語の基礎を、文法だけでなく、語彙、表現を含めて総合的に学び、身近な話題について自ら発信できるドイツ語力を身につけることを目標とします。その際、ドイツの文化を知るとともに、異文化比較の視点から、ドイツ・ヨーロッパとの比較で、自分自身と日本についてドイツ語で発信することを目指します。1年終了時の到達目標レベルは 欧州評議会で定められたヨーロッパ言語共通参照枠（CEFR）のA１（よく使われる日常的表現と基本的な言い回しは理解し、用いることができる）、2年次終了後までの到達目標レベルはA2（日常的な状況で使用する文や表現を理解し、使いこなせる）です。,事前の準備学習および事後学習については、各教員の指示にしたがってください。ただし、事後学習をどれだけ丁寧に行うかが語学の習得にとっては大変重要ですので、作業的に宿題をこなすだけではなく、学習内容を定着させるという意識で事後学習にのぞんでください。,春学期でA1の前半を、秋学期でA1の後半を扱います。初回授業時に確認してください。,Das Leben A1（Cornelsen Verlag）,,"試験：50％（試験または課題の成績）
平常点評価：50%（出席状況、授業における活動状況、宿題、小テストの成績等）
以上の割合は目安です。各教員ごとに異なる場合がありますので、各クラスにて確認してください。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023A401202512000023A412
2025年度,法学部,露語初級 II（基礎） １Ｒ,梶 重樹,秋学期  01:火１時限／02:木２時限,未習外国語 露語(初級),１年以上,2,01:８-４０２／02:３-６０６,"早稲田
科目キー  12000023D2  科目クラスコード  01",指定なし,"【対面】
  コース・コード  LANR101F
大分野名称  語学
中分野名称  ロシア語
小分野名称  ロシア語",初級レベル（入門・導入）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",ロシア語の重要性は変わらない,"世界には様々な情報が飛び交っています。その中から正しい情報を捉え、正確に読み解くには、複眼的な視点が必要です。日本人は自国と欧州のメディアを通して世界を見ています。しかし、そこからだけではウクライナ、ロシアなど異なる世界観を持つ国々の視点からの情報を読み取ることはできません。今後ますます激動する中央アジア、ロシア、ウクライナ、コーカサスは世界から注視される重要地域になります。食料、資源の豊富なこの地域は自給率の極端に低い日本にとってもますます重要な地域になります。その意味で2022年2月から始まったウクライナ・ロシア戦争にもかかわらずロシア語の重要性は以前にも増して高まっています。日本ではロシア語を理解する人は少なく、十分にその知識を利用できていません。ロシア語を知る日本人は希少価値です。この希少価値という特権を手に入れ、世界を複眼的に見る視点を養う──この授業がまずそのスタートとなります。
春学期に初級（基礎） I と初級（演習） I 、秋学期に初級（基礎） II と初級（演習） II を受講します。初級（基礎） I・II は日本人教師が担当し、文法を中心に学びます。初級（演習） I・II はロシア語ネイティブスピーカーによる授業で、日常会話を中心に生きたロシア語を学びます。","ロシア語は文法体系がきわめて明確な言語です。名詞、代名詞、形容詞など多くの品詞が、主語や目的語といった文中の役割に応じで語尾変化し、動詞は主語に応じて語尾を変えます。語尾の形を聞いたり、見たりすれば、文の構造を間違いようがなく理解できるのです。文法体系さえ捉えてしまえば、ロシア語は分かり易い言語です。初級（基礎） I・II でその文法体系を習得し、辞書を使えばロシア語が読み書きできるようになることを目指します。単なる文法説明の例文ではなく、実際に使える文で文法を学んでいきます。
ロシア語は美しい響きをもつ言葉だと言われています。文字のもつ音だけでなく、ロシア語の特徴である強弱アクセントと語尾変化にも理由があります。語尾変化と音の流れには密接な関係があり、それがロシア語特有のメロディアスな響きを生み出しているのです。初級（演習） I・II では、簡単な日常会話ができるようになることを目指すとともに、詩や歌のテキストを使って、ロシア語の美しい響きを聞き取る耳を養います。ロシア語の学習は言語能力全般の力を高めます。外国語学習能力だけでなく、日本語の正確さ、語彙力、表現力、論理構造の明晰さを高めます。","各回90～120分想定の宿題があります。初級の授業は予習は不要です。英語とはまったく考え方が違う言語ですから、間違った思い込みは非常に学習の障害になります。
復習には90分から120分宿題とは別にしっかり時間をかけて理解できたか確認し、疑問点は次の授業で質問してください。
初回授業は対面です。
2回以降も対面を予定しています。また試験も対面を想定していますので、しっかり実力をつけるつもりで勉強してください。","初級（基礎） I
第1回：オリエンテーション／第2－4回：文字と発音／第5－9回：第1課、練習問題／第10－14回：第2課、練習問題／第15－19回：第3課、練習問題／第20－24回：第4課、練習問題／第25－27回：第5課、練習問題／第28回：理解度の確認（試験）
初級（基礎） II
第1－5回：第6課、練習問題／第6－11回：第7課、練習問題／第12－17回：第8課、練習問題／第18－23回：第9課、練習問題／第24回－27回：第10課、練習問題／第28回：理解度の確認（試験）
（練習問題はプリントで配布。受講者の理解度によって授業の進み具合にはズレが生じることがあります）
初級（演習） I・II
基本的には、教科書に沿って授業を進めていきますが、随時、映像や音声資料を活用し、詩や歌などを挟みながら受講者が生きたロシア語に触れる機会をできるだけたくさんもうけます。担当教員が、受講者の理解度に応じて教材の選択、費やす時間などを決めるため、授業スケジュールは受講者次第で変わります。春学期、秋学期とも最後の授業時間に理解度の確認（試験）を行ないます。",に沿って授業を進めていきますが、随時、映像や音声資料を活用し、詩や歌などを挟みながら受講者が生きたロシア語に触れる機会をできるだけたくさんもうけます。担当教員が、受講者の理解度に応じて教材の選択、費やす時間などを決めるため、授業スケジュールは受講者次第で変わります。春学期、秋学期とも最後の授業時間に理解度の確認（試験）を行ないます。,"研究社露和辞典／岩波ロシア語辞典／博友社ロシア語辞典／コンサイス露和辞典／プログレッシブロシア語辞典
研究社和露辞典／コンサイス和露辞典
現代ロシア語文法（城田俊著、東洋書店）","割合  評価基準
試験:  80％  学期末に教場試験を行なう
平常点評価:  20％  課題の提出、授業中の学習態度などから総合的に評価する。課題の提出は必須です。","課題は必ず提出してください。毎回間違いを指摘しながら解答します。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023D201202512000023D212"
2025年度,法学部,西語初級 II（基礎） ７Ｓ,岩村 健二郎,秋学期  01:火１時限／02:木１時限,未習外国語 西語(初級),１年以上,2,01:１０-１０２／02:８-１０４,"早稲田
科目キー  12000023E2  科目クラスコード  07",指定なし,"【対面】
  コース・コード  LANS201F
大分野名称  語学
中分野名称  スペイン語
小分野名称  スペイン語",中級レベル（発展・応用）,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"西語未習コースは、１年次秋学期にこの「西語初級Ⅱ（基礎）」（週２コマ）と「西語初級Ⅱ（演習）」（週１コマ）を同一クラス（上記「科目名」の「○S」）で受講します。
西語初級Ⅱ（基礎）の授業では、スペイン語文法理解と読解に重点を置きます。名詞の「性」、形容詞の語尾変化、動詞の活用など、英語にはない文法的特徴に注意しながらひとつずつ知識・理解を積み上げていきます。
西語初級Ⅱ（演習）の授業では、ネイティヴ教員による口頭演習に重点が置かれます。（基礎）で身に着けた語彙や理論、仕組みの知識を実用的に会話の環境のなかで学びます。","・「授業計画」の項目の文法・語法を習得し、使い分けることができる
・習得した文法、語彙、表現を用いて簡単なスペイン語の会話ができる",宿題の有無にかかわらず次回の学習箇所の予習（語句の意味を辞書で引くなど）、各回の学習内容の復習は常に行なうこと。語学の習得には反復による蓄積が不可欠です。とくに動詞の活用形など理屈なく身に着けるほかないものは繰り返し声に出して覚えること。詳細は各クラス担当教員から指示します。,"」の項目の文法・語法を習得し、使い分けることができる
・習得した文法、語彙、表現を用いて簡単なスペイン語の会話ができる",によって変わる可能性がある。ただし一年間で到達を目指すレベルに差異はない。,各クラスの担当教員が指示する ※辞書は必ず入手すること,"割合  評価基準
試験:  70％  中間試験・期末試験など。実施方法等については各クラスの担当教員が指示する。
レポート:  各クラスの担当教員の指示に従うこと
平常点評価:  30％  授業参加状況、課題等 ※ただし割合は目安であり、クラスにより異なることがある。
その他:  各クラスの担当教員の指示に従うこと","授業開始時に、おおまかな進度やテスト予定日などのスケジュール、教科書、辞書などについて担当教員から案内します。
原則として欠席回数が総授業回数の3分の2を超えた場合、履修の意志なしとみなし、成績評価しません。授業に出席すること自体は評価の対象ではありません（評価の要件です）ので、出席の度合いと、評価の結果としての成績・合否は無関係です。
https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000023E207202512000023E212"
2025年度,法学部,西語中級 I（総合） ５（秋）,矢田 陽子,秋学期  火１時限,既習外国語 西語(中級I),１年以上,1,８-３１１,"早稲田
科目キー  12000024E2  科目クラスコード  05",指定なし,"【対面】
  コース・コード  LANS301F
大分野名称  語学
中分野名称  スペイン語
小分野名称  スペイン語",上級レベル,"外国語
シラバス情報
最終更新日時：2025/03/03 09:28:18",リスニング・読解力をつけ、スペイン語圏の社会と文化を学ぶ。,既にスペイン語を履修し初級文法を修了している学生を対象とします。既に固めた文法基礎知識をもとに更に上のレベルのスペイン語能力習得を目指すコースです。秋学期の授業では、春学期に引き続き、ニュースの聞き取り、時事問題の理解に取りくみ、さらなる基礎力強化を図ります。,"秋学期は、また、春学期と同様に、スペイン語圏の時事問題に取り組み、リスニング力もつけていきます。
最終的には、スペイン語の総合力向上を目標とし、スペイン語検定試験DELE（スペイン政府認定）A2 B1レベル合格の力をつけていきます。","授業が進むにつれ、難易度は増します。
文法力のみならず、語彙力向上も意識していきましょう","1:  
第１回
Lecci?n 8 Transplante de ?rganos
2:  
第２回
Lecci?n 8 Transplantes de ?rganos
3:  
第３回
Lecci?n 9 Cuba y Jap?n fortalecen las relaciones bilaterales
4:  
第４回
Lecci?n 9 Cuba y Jap?n fortalecen las relaciones bilaterales
5:  
第５回
Lecci?n 10 Refugiados en Espa?a
6:  
第６回
Lecci?n 10  Refugiados en Espa?a
7:  
第７回
Lecci?n 11  Catalu?a y Espa?a, enfrentadas por los tres
8:  
第８回
Lecci?n 11  Catalu?a y Espa?a, enfrentadas por los tres
9:  
第９回
中間テスト
10:  
第１０回
Lecci?n 12 Lecci?n 12 El valor econ?mico del espa?ol
11:  
第１１回
Lecci?n 12 Lecci?n 12 El valor econ?mico del espa?ol
12:  
第１２回
Lecci?n 13. La defensa de la i griega y la rebeli?n popular en Espa?a
13:  
第１３回
プレゼンテーション
14:  
第１４回
プレゼンテーション","La noticia de hoy
三修社",,"割合  評価基準
試験:  100％  中間テスト５０％ （リスニング）
期末テスト（グループ プレゼンテーション）50%
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=12000024E205202512000024E212
2025年度,法学部,刑法 II（刑法各論） Ｃ,北川 佳世子,秋学期  01:火１時限／02:木１時限,法律必修２年,２年以上,4,01:８-１０６／02:８-１０６,"早稲田
科目キー  1200004255  科目クラスコード  03",日本語,"【対面】
  コース・コード  LAWC211L
大分野名称  法学
中分野名称  刑事法
小分野名称  刑法",中級レベル（発展・応用）,"講義
シラバス情報
最終更新日時：2025/03/03 09:28:18",,"〇本授業では、刑法各論上の犯罪の罪質・保護法益を学び、各犯罪の成立要件、条文の解釈に関する講義を行う。
〇刑法各論の重要論点に関する判例・主要学説について説明する。
〇この科目は、法学部のディプロマ・ポリシーに掲げる「法に関する知識・理論を体系的に理解する力、」、「適切な法規範を発見し、それを合理的に解釈して適用する力」を養成する科目である。",〇刑法各論に関する基礎的知識を身につけるとともに、重要判例や主要学説の考え方を理解し、簡単な事例を用いて説明できるようになる(法学部 学修成果1),"〇授業前に、waseda moodle上に掲載された授業用スライドに目を通し、刑法各論の教科書で該当箇所を読んでおくとよい。とくに各犯罪の法益に関する記述と条文の基本概念を頭に入れてから授業を聴講すると講義内容の理解が向上する。
〇授業後は、授業で学んだ基本事項と各犯罪の成立要件を復習するとともに、授業で扱った判例等の事案を用いて各犯罪の成立要件にどの事実があてはまるのか(それともあてはまらないのか)について説明できるかを確認し、重要論点に関する判例、学説の理由付けを中心に復習するとよい。
〇授業の事前学習・事後学習時間は概ね各2時間程度。","第1回 イントロダクションー刑法各論の学び方
第2回 生命・身体に対する罪(1)－人の概念、胎児性致死傷、殺人罪と同意殺人罪
第3回 生命・身体に対する罪(2)－暴行罪、傷害罪、遺棄罪
第4回 自由に対する罪(1)－自由に対する罪概説、性犯罪、逮捕・監禁罪、略取誘拐罪
第5回 自由に対する罪(2)－住居等侵入罪
第6回 名誉に対する罪－名誉毀損罪、侮辱罪
第7回 信用・業務に対する罪－信用毀損罪、偽計・威力業務妨害罪
第8回 個人法益(財産罪を除く)の総括
第9回 財産に対する罪概説、財産犯の分類・体系
第10回 窃盗罪(1)ー窃盗罪における占有の意義
第11回 窃盗罪(2)ー窃盗罪(奪取罪)の保護法益
第12回 窃盗罪(3)ー不法領得の意思
第13回 強盗罪(1)ー強盗罪の基本構造、2項強盗
第14回 強盗罪(2)ー事後強盗罪
第15回 詐欺罪(1)ー詐欺罪の基本構造、詐欺罪の諸形態
第16回 詐欺罪(2)ー相当対価の給付と詐欺、欺罔行為の重要事項性
第17回 課題への取組（waseda moodle上で課題の発表・レポート提出）
第18回 横領罪・背任罪ー横領・背任の基本構造、不動産の二重売買、二重抵当
第19回 財産罪と民法の関係ー権利行使と財産罪、誤振込事例、不法原因給付と詐欺、横領
第20回 親族相盗例、盗品関与罪
第21回 財産罪の総括
第22回 社会法益に対する罪概説、放火罪
第23回  偽造罪(1)ー偽造罪総説、文書偽造罪の基本、公文書偽造罪
第24回 偽造罪(2)ー私文書偽造罪
第25回 国家法益に対する罪概説、公務執行妨害罪、司法作用に対する罪
第26回 わいろ罪
第27回 社会法益・国家法益の罪の総括
第28回 定期試験","で該当箇所を読んでおくとよい。とくに各犯罪の法益に関する記述と条文の基本概念を頭に入れてから授業を聴講すると講義内容の理解が向上する。
〇授業後は、授業で学んだ基本事項と各犯罪の成立要件を復習するとともに、授業で扱った判例等の事案を用いて各犯罪の成立要件にどの事実があてはまるのか(それともあてはまらないのか)について説明できるかを確認し、重要論点に関する判例、学説の理由付けを中心に復習するとよい。
〇授業の事前学習・事後学習時間は概ね各2時間程度。",,"割合  評価基準
試験:  70％  定期試験により、刑法各論の基礎的知識の習得度および授業で説明した事項に関する理解度を評価する。
レポート:  30％  学期中(授業時に告知)に指示された課題に関するレポートを作成・提出してもらい、その内容を評価する。
備考・関連URL",https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1200004255032025120000425512
